epoch_times_dice,epoch_times_dice_hd
2.0821973e9,3.2191043e9
2.2516655e9,2.4042545e9
2.0844231e9,2.7065752e9
2.4738451e9,2.5673227e9
2.0629918e9,2.4161837e9
2.0249344e9,2.4625383e9
2.0421263e9,2.6024226e9
2.2882156e9,2.9410483e9
2.0397486e9,2.9381929e9
2.1934479e9,2.5178194e9
2.0926747e9,2.4566694e9
2.0692163e9,2.9319144e9
2.0940289e9,2.985755e9
2.4180107e9,2.4823619e9
2.1962507e9,2.8065606e9
2.0907492e9,2.5691772e9
2.2484442e9,2.4587671e9
2.0599711e9,2.6082804e9
2.0843331e9,2.9972883e9
2.2259626e9,3.126962e9
2.0547376e9,2.9812374e9
2.0514283e9,3.4107132e9
2.1003632e9,2.3860078e9
2.0518674e9,2.6703002e9
2.2634926e9,2.6507308e9
2.0421258e9,2.6577863e9
2.0840145e9,2.4563917e9
2.1982381e9,2.4810769e9
2.0671584e9,2.5925216e9
2.0953081e9,2.4584817e9
2.0980305e9,2.707292e9
2.0846425e9,2.762589e9
2.0955665e9,2.4155724e9
2.0914747e9,2.5894138e9
2.0774596e9,2.6790361e9
2.0661603e9,2.5205269e9
2.2340274e9,2.4964316e9
2.0348777e9,2.6883204e9
2.1030405e9,2.6367061e9
2.0168024e9,2.6914841e9
2.3203268e9,2.7258199e9
2.0422637e9,2.6275081e9
2.1945457e9,2.9739572e9
2.0968252e9,2.8843194e9
2.0387543e9,3.4091557e9
2.0271542e9,2.9724165e9
2.0564131e9,2.9684846e9
2.1022747e9,3.4190189e9
2.09424e9,3.0304554e9
2.0317265e9,2.8871128e9
2.0520245e9,3.0769837e9
2.0452249e9,3.156087e9
2.0332259e9,2.456205e9
2.0677384e9,2.4411799e9
2.0301518e9,2.4260326e9
2.2001325e9,2.4469202e9
2.0833873e9,2.4089245e9
2.0273934e9,2.4704224e9
2.1270606e9,2.441743e9
2.0977928e9,2.4858357e9
2.1405947e9,2.3914973e9
2.1774513e9,2.4753266e9
2.1294769e9,2.4532896e9
1.7637936e9,2.406538e9
2.1648615e9,2.3907819e9
2.0747352e9,2.4655946e9
2.0811871e9,2.4435497e9
2.1266421e9,2.4528804e9
2.0931759e9,2.6053496e9
2.086953e9,2.4107692e9
2.1805366e9,2.4087507e9
2.0490748e9,2.388695e9
2.0176234e9,2.5633226e9
2.0990307e9,2.4134789e9
2.115261e9,2.4221532e9
2.0972027e9,2.4349826e9
2.1175007e9,2.428769e9
2.0904155e9,2.4483913e9
2.0569269e9,2.4504374e9
2.0355336e9,2.48154e9
2.077459e9,2.4240208e9
2.1339397e9,2.4973375e9
2.0409866e9,2.459858e9
2.0840347e9,2.4466745e9
2.0835101e9,2.4211642e9
2.1111823e9,2.4101231e9
2.1024511e9,2.4412762e9
2.0651077e9,2.4329701e9
2.0617292e9,2.4070332e9
2.2522016e9,2.4594874e9
