train_losses_dice,train_losses_dice_hd,valid_losses_dice,valid_losses_dice_hd
0.021794751,0.61592543,0.11223692,0.6280121
0.052788332,0.6155613,0.12987018,0.62764025
0.026411846,0.6151867,0.109591484,0.6272567
0.03945358,0.6148186,0.12894702,0.6268964
0.052663594,0.6144477,0.1278401,0.6265621
0.024937272,0.6140765,0.11071932,0.6261801
0.025763154,0.61368537,0.110214055,0.62578976
0.04039976,0.6133038,0.12109333,0.6254107
0.046441972,0.61292315,0.1391223,0.6250317
0.037487835,0.61253023,0.11027175,0.624635
0.02959326,0.6121453,0.119205475,0.62425715
0.03271529,0.61176485,0.12112504,0.62390745
0.037877947,0.611361,0.112154424,0.6235013
0.023271754,0.61096835,0.11251861,0.623092
0.018712565,0.6105771,0.107848644,0.62270087
0.029529199,0.6101755,0.11395711,0.6222832
0.016952887,0.6097983,0.11261243,0.6231172
0.01622355,0.60938346,0.107581794,0.62271357
0.024017856,0.6089618,0.10955942,0.62230086
0.019045666,0.60853463,0.116740584,0.6218748
0.018334001,0.6081115,0.111575425,0.62146425
0.017183632,0.60769075,0.10476065,0.6210463
0.017220348,0.6072636,0.11552352,0.62067485
0.023175403,0.6068674,0.115641475,0.6203492
0.019115195,0.60644174,0.10595119,0.6199177
0.0163832,0.6060918,0.116455555,0.61949056
0.016710028,0.6056808,0.11043745,0.6190661
0.014881089,0.60532844,0.1051231,0.6186231
0.017297968,0.6048739,0.11739951,0.6181722
0.016723037,0.60442233,0.1074245,0.61772484
0.017716154,0.60401267,0.11249757,0.61736715
0.014558643,0.60356486,0.11142987,0.6169362
0.015044779,0.60311913,0.109369695,0.61649674
0.040286362,0.6026505,0.12819296,0.6160404
0.013666779,0.60219324,0.10589719,0.6155802
0.026096001,0.60172933,0.12124479,0.6151144
0.026502624,0.601263,0.11565614,0.61465526
0.02177158,0.60076874,0.110797346,0.6141743
0.016152859,0.600318,0.113961875,0.6137246
0.016023755,0.59984636,0.10956091,0.6132581
0.013501808,0.59937936,0.107857466,0.61275977
0.013340086,0.59903914,0.11432785,0.61231494
0.021529183,0.5985763,0.11144251,0.61187947
0.012265399,0.5980856,0.11133844,0.61138153
0.0125694275,0.5975918,0.108347535,0.61098987
0.011139214,0.59710515,0.10895306,0.6105201
0.009640485,0.5966041,0.11121422,0.6100501
0.012625158,0.5962477,0.10752845,0.60968363
0.009832546,0.59573674,0.11298275,0.60933065
0.010320559,0.59524167,0.10968828,0.60883194
0.009347707,0.59475714,0.10898179,0.6083222
0.011302769,0.5942687,0.11455315,0.6078185
0.010002434,0.5937366,0.10979205,0.6073183
0.012233481,0.59320754,0.11256224,0.6068035
0.01455152,0.59270585,0.11442995,0.6063032
0.009295538,0.5921793,0.113339186,0.6057891
0.0152888745,0.59165543,0.11543071,0.6053271
0.010087088,0.59112376,0.11100721,0.60480624
0.020098016,0.59057546,0.11667055,0.6042586
0.012625232,0.5901107,0.115118325,0.6039196
