,time_step_dice,time_step_dice_hd
129,381683700,1164693400
130,176692000,1141545000
131,172990800,1272021800
132,25642300,1328679800
133,422437800,1162575700
134,176319700,1107737500
135,172119700,1131718700
136,26519200,1216833300
137,407588100,1256032300
138,178054800,1184931900
139,171047600,1221101700
140,26989300,1172678500
141,441058400,1146866000
142,175633000,1136660600
143,171881600,1161333900
144,28153000,1293880900
145,429584400,1176523300
146,178072900,1120262000
147,172647300,1158273400
148,26336000,1313660100
149,410671800,1148031500
150,176693600,1108049800
151,173671500,1123417700
152,28192300,1300875300
153,379393300,1121469800
154,174682500,1102841700
155,170100900,1128015600
156,27576200,1167226200
157,460748100,1131213200
158,176272100,1151139600
159,172576500,1133510300
160,26180900,1173520800
161,388851000,1144569200
162,173654000,1141883200
163,173673900,1169196300
164,25611700,1315599600
165,491794300,1126072100
166,177926100,1119169100
167,171398900,1135475800
168,26643000,1524782500
169,384461600,1485844800
170,176086500,1476422600
171,173124200,1455475800
172,27023200,1245256100
173,474262700,1149759700
174,176696700,1132611000
175,174004200,1083418400
176,26034900,1260110100
177,391640200,1128078400
178,176617400,1133219000
179,172421100,1093312700
180,27381900,1196577600
181,502666400,1146775900
182,178290200,1124894400
183,170852600,1139895200
184,26926000,1268196800
185,436901500,1142792600
186,176732100,1158019000
187,171711000,1106904300
188,26690300,1315840400
189,477041700,1140722000
190,175367500,1114426100
191,173664200,1105496500
192,25298600,1280673400
193,378314700,1152432900
194,175329300,1108468500
195,171878100,1132385600
196,28089700,1178740300
197,418638900,1101236600
198,178116700,1112920200
199,172461300,1103924700
200,26733100,1299628000
201,430460100,1137662900
202,177801500,1105171700
203,171966400,1139898800
204,26436100,1184297100
205,398859000,1142920200
206,177905500,1109303600
207,174491800,1126189700
208,33326500,1315186700
209,379673000,1135756300
210,176328200,1107732300
211,173490800,1197854400
212,26091400,1203973700
213,434548500,1161784800
214,179145800,1124426400
215,173914900,1177431900
216,28479900,1253036800
217,386937100,1100218300
218,173931800,1116756200
219,171197000,1201014500
220,25195900,1275086900
221,498690800,1161496100
222,177562100,1094409300
223,172771900,1090599900
224,28336600,1290412600
225,354689000,1153230600
226,171901500,1124354100
227,171248100,1188173300
228,25794200,1207435200
229,491883000,1110688100
230,179457500,1099748400
231,171565200,1157470300
232,28588800,1231601000
233,387198000,1135023200
234,176166300,1174427200
235,170854700,1176580200
236,25947800,1348679600
237,469675400,1141130000
238,176942000,1115437300
239,172181800,1151876200
240,26991100,1210318300
241,395826700,1156713600
242,176941200,1112817500
243,173361500,1147955700
244,25994000,1363637200
245,489423700,1140546200
246,177990200,1112176900
247,172289200,1081562200
248,27528400,1360936600
249,472193800,1134182600
250,176140000,1146457300
251,173444700,1203888600
252,27409600,1581996100
253,412018000,1541556000
254,176159200,1486145500
255,171153300,1481177300
256,25986200,1315585200
257,498147800,1112872900
258,180529600,1136617100
259,171107500,1109943800
260,26396500,1251661300
261,441521900,1144759200
262,177800700,1153167400
263,172523000,1083322500
264,26570200,1198417900
265,433790600,1158409600
266,176494000,1092773700
267,173356300,1094997400
268,26822800,1187687200
269,417036700,1140666700
270,176174600,1103042800
271,172387700,1094061800
272,26791400,1160027800
273,425156600,1152356300
274,175241400,1107915500
275,174149400,1112709000
276,26514700,1358325800
277,439958100,1152831600
278,175186100,1129289200
279,173457300,1098674500
280,26313200,1186132200
281,373080100,1131684000
282,173663100,1143043400
283,172024400,1105060200
284,27462800,1254352500
285,492413200,1158152700
286,175527100,1114323800
287,172920400,1148515300
288,27789100,1285859800
289,471679200,1108597600
290,177985400,1119071400
291,172362300,1095084500
292,32458000,1336709800
293,496470400,1176811600
294,179578700,1122825700
295,171512800,1101669600
296,25326700,1184927400
297,503078000,1295109100
298,180676600,1425199900
299,172995100,1411959800
300,26779300,1262184000
301,436762500,1161928900
302,174723600,1127424400
303,171070200,1118635700
304,27926800,1287684300
305,407719400,1167823700
306,177107400,1124480800
307,171830400,1138702100
308,25871500,1281344300
309,473223800,1145186100
310,176794500,1122444500
311,172704700,1168080100
312,27585600,1234196200
313,493781700,1134855600
314,176927900,1139272300
315,171072000,1104955600
316,26067000,1153559200
317,468682700,1136048800
