sizes_2D,maurer_mean_2D,maurer_std_2D,felzenszwalb_mean_2D,felzenszwalb_std_2D,felzenszwalb_inplace_mean_2D,felzenszwalb_inplace_std_2D,felzenszwalb_threaded_mean_2D,felzenszwalb_threaded_std_2D,felzenszwalb_threaded_mean_2D_depth,felzenszwalb_threaded_std_2D_depth,felzenszwalb_threaded_mean_2D_nonthread,felzenszwalb_threaded_std_2D_nonthread,felzenszwalb_threaded_mean_2D_worksteal,felzenszwalb_threaded_std_2D_worksteal,felzenszwalb_gpu_mean_2D,felzenszwalb_gpu_std_2D,wenbo_inplace_mean_2D,wenbo_inplace_std_2D,wenbo_threaded_mean_2D,wenbo_threaded_std_2D,wenbo_threaded_mean_2D_depth,wenbo_threaded_std_2D_depth,wenbo_threaded_mean_2D_nonthread,wenbo_threaded_std_2D_nonthread,wenbo_threaded_mean_2D_worksteal,wenbo_threaded_std_2D_worksteal,wenbo_gpu_mean_2D,wenbo_gpu_std_2D
10609.0,219158.02,1.2018254989301357e6,547547.1565284347,1.3484801822749707e6,360491.06,724981.6345654018,207823.7,764681.8911166721,258284.08,1.316801616879466e6,294325.05,28732.577670641727,507634.0333982174,2.5447345612315726e6,662316.5532879819,710667.4695885142,88758.07,13015.267519108444,123491.35,629710.4616700694,250996.07,420436.8632162865,96811.46,13879.030564752777,484264.2013923923,87563.52825917974,11519.17,6269.988260465778
12769.0,246556.5,1.2774785406917573e6,679823.7868696479,1.541228220492466e6,437444.25,689747.7803740945,235594.42,762241.0194433483,234057.94,637549.7785608356,372406.93,425552.9536222357,423874.43,933688.2491130693,759545.9016393443,856363.7711578063,115443.91,17076.84112364392,142360.94,1.0814323737544655e6,268046.89,945212.6086155833,118672.16,18132.921088923373,445785.38,1.2873080691997386e6,11569.25,5155.058573904863
15129.0,260742.73,1.2128699440423367e6,963849.3791230113,1.902667850958192e6,742495.1677852349,983706.509019103,396709.33,1.0920074411839463e6,821733.4110204761,2.5257486852824837e6,610940.3789370079,84734.93004995809,941942.6263778032,2.1719905719018467e6,800917.7325581395,976969.9690614358,143011.42,662150.5278694109,167648.65,1.4698697560730206e6,280657.41,1.1145614204910812e6,147017.46,1.0057059238006225e6,585259.9126740618,3.095628203162765e6,11657.57,5192.119269176175
17689.0,282333.92,1.1671632439899938e6,944971.3583049565,1.7977226469469662e6,623345.0519204304,786829.8682831461,276748.14,766196.2766654361,332693.99,1.375670196736812e6,515832.55525717826,276301.13683246775,505665.52040816325,1.904257567336782e6,936532.8692380056,1.2577959586093915e6,166279.84,525258.3864164613,161065.13,718392.9334923698,268607.26,1.3261753660905682e6,176989.99,486175.1180915622,503520.016273393,1.1775950446159055e6,12241.02,6068.473283816914
20736.0,309565.46,1.2092411607365464e6,1.0984036687170474e6,2.0361841961060755e6,730682.9743589744,708245.9034233427,321685.68,899497.9008292885,383526.58,1.4645638438377383e6,601832.7263957554,280863.6083968773,401483.07,1.0350823342982212e6,1.0264574520717377e6,767327.4528548841,275023.14,933040.8445712883,236876.32,893492.119829872,644751.4750229449,2.220659521720326e6,201510.11,502617.6621073055,832791.1601279677,1.4969418021140478e6,18330.12,9620.16899803507
23716.0,352003.14,1.1883366255037724e6,1.282620993053769e6,2.0542909536619226e6,819312.5246548323,520136.00649409264,337986.06,700308.5110069239,331727.43,688501.5342254937,699402.0356591324,234302.84658430153,549932.7345309381,1.4892175514236328e6,1.0860832239720034e6,833422.1982071938,318714.11,615257.2804234168,174737.82,552752.7716314978,402347.0,1.4686620525095104e6,227122.08,470661.83780399064,584706.4953436285,1.1115586417737373e6,12297.72,45417.95889183696
26896.0,344107.83,960301.8386298219,1.4104841153193894e6,2.143202171513591e6,936217.7089201878,512376.6769510543,377559.42,941614.1844123272,411438.17,1.4439823205462922e6,772819.0417118933,290350.1424709319,500792.02385766275,1.0166323384519889e6,1.1665586569957884e6,1.4514137213709352e6,250530.07,375078.2229563974,189716.89,1.0314611909531893e6,264200.05,794615.9661008302,259501.33,348502.8414665827,550100.4892367906,1.8356174877186792e6,14649.7,206766.64444352553
30276.0,373476.21,916384.6329258166,1.6113051679586563e6,2.2394737702484475e6,1.0807772885032538e6,922296.2450883555,413474.87,928164.6753825233,442003.12,1.2685653014144208e6,908918.9406392694,232367.1492504033,687233.6105336106,1.3845755241614438e6,1.2155785696851355e6,775420.9003721713,296776.28,753355.9306218965,197097.1,762211.8764923941,368012.65,1.5452595234582638e6,284829.31,332322.22516415897,664909.0300107182,2.1770405059695994e6,13350.01,123204.53429045083
33856.0,389102.22,978460.1066058301,1.7791865905848788e6,2.3472817816137974e6,1.2388129192546583e6,890934.9183747224,476910.44,976217.852809823,415986.57,1.0451107142877962e6,1.0079782240161453e6,335759.1748263792,544382.6635924462,1.0035144924481582e6,1.3954125383970959e6,1.742595936798344e6,311431.21,553392.9489382105,195068.17,798580.2592319031,322191.11,1.0886713969444684e6,320454.23,868496.6179586702,577193.6554132713,1.2545699026559498e6,13525.58,155851.85963561307
37636.0,919259.2750929368,6.130047853237632e6,2.8049361391694727e6,3.2248855036308984e6,1.415540227596017e6,786486.4757461097,712588.4969766772,1.2995381622608076e6,1.6127378352180936e6,3.736950070839258e6,1.5890637551801084e6,359932.49883967225,532870.4821217653,940694.3634136422,1.4187492312072893e6,974912.1064543643,357220.87,470280.46211250057,227830.88,653243.670311244,307495.96,851730.5139846317,362252.1,780358.5232340753,514485.0643955131,1.0594034859409886e6,14418.43,193527.6147507177
